process,geometry,iterations,gflops,time,grid_size,l2_norm,linf_norm,threads
24,1x24,1024,32.9833,0.139086,400x400,0.604165,0.992437,1
24,1x24,731,30.9561,0.105791,400x400,0.573456,0.992443,1
24,1x24,731,30.8739,0.106073,400x400,0.573456,0.992443,1
24,1x24,731,31.2787,0.1047,400x400,0.573456,0.992443,1
24,1x24,731,30.9342,0.105866,400x400,0.573456,0.992443,1
24,1x24,731,29.8211,0.109818,400x400,0.573456,0.992443,1
24,1x24,522,27.3986,0.0853531,400x400,0.579154,0.992442,1
24,1x24,522,27.4715,0.0851269,400x400,0.579154,0.992442,1
24,1x24,522,29.0604,0.0804725,400x400,0.579154,0.992442,1
24,1x24,522,29.9174,0.0781672,400x400,0.579154,0.992442,1
24,1x24,522,28.0114,0.083486,400x400,0.579154,0.992442,1
24,1x24,372,27.7882,0.0599738,400x400,0.630466,0.99243,1
24,1x24,372,26.1296,0.0637804,400x400,0.630466,0.99243,1
24,1x24,372,26.5718,0.0627192,400x400,0.630466,0.99243,1
24,1x24,372,25.5027,0.0653484,400x400,0.630466,0.99243,1
24,1x24,372,25.5928,0.0651184,400x400,0.630466,0.99243,1
24,1x24,265,23.1854,0.0512047,400x400,0.642706,0.99261,1
24,1x24,265,22.8184,0.0520281,400x400,0.642706,0.99261,1
24,1x24,265,23.4696,0.0505845,400x400,0.642706,0.99261,1
24,1x24,265,23.7858,0.0499121,400x400,0.642706,0.99261,1
24,1x24,265,22.5984,0.0525347,400x400,0.642706,0.99261,1
24,1x24,189,20.1515,0.0420177,400x400,0.64676,0.994989,1
24,1x24,189,19.9911,0.0423548,400x400,0.64676,0.994989,1
24,1x24,189,19.7644,0.0428406,400x400,0.64676,0.994989,1
24,1x24,189,21.4918,0.0393974,400x400,0.64676,0.994989,1
24,1x24,189,20.9113,0.0404911,400x400,0.64676,0.994989,1
24,1x24,135,15.4284,0.0392005,400x400,0.648244,0.996568,1
24,1x24,135,18.214,0.0332053,400x400,0.648244,0.996568,1
24,1x24,135,18.477,0.0327326,400x400,0.648244,0.996568,1
24,1x24,135,17.8898,0.0338069,400x400,0.648244,0.996568,1
24,1x24,135,18.2903,0.0330667,400x400,0.648244,0.996568,1
24,1x24,96,13.1746,0.0326446,400x400,0.648742,0.997655,1
24,1x24,96,14.6588,0.0293394,400x400,0.648742,0.997655,1
24,1x24,96,15.1881,0.0283168,400x400,0.648742,0.997655,1
24,1x24,96,14.2171,0.0302508,400x400,0.648742,0.997655,1
24,1x24,96,13.9478,0.030835,400x400,0.648742,0.997655,1
24,1x24,68,11.5333,0.0264139,400x400,0.648918,0.998409,1
24,1x24,68,11.8318,0.0257476,400x400,0.648918,0.998409,1
24,1x24,68,12.3529,0.0246613,400x400,0.648918,0.998409,1
24,1x24,68,11.7255,0.0259811,400x400,0.648918,0.998409,1
24,1x24,68,12.3401,0.024687,400x400,0.648918,0.998409,1
24,1x24,48,10.3208,0.0208355,400x400,0.649293,0.998935,1
24,1x24,48,9.83073,0.0218743,400x400,0.649293,0.998935,1
24,1x24,48,9.42766,0.0228095,400x400,0.649293,0.998935,1
24,1x24,48,9.47537,0.0226946,400x400,0.649293,0.998935,1
24,1x24,48,9.26401,0.0232124,400x400,0.649293,0.998935,1
24,1x24,34,7.61338,0.0200069,400x400,0.65045,0.999296,1
24,1x24,34,6.68631,0.0227809,400x400,0.65045,0.999296,1
24,1x24,34,8.02163,0.0189887,400x400,0.65045,0.999296,1
24,1x24,34,6.92583,0.021993,400x400,0.65045,0.999296,1
24,1x24,34,7.33075,0.0207782,400x400,0.65045,0.999296,1
24,1x24,24,5.80647,0.0185173,400x400,0.652939,0.999549,1
24,1x24,24,6.08144,0.01768,400x400,0.652939,0.999549,1
24,1x24,24,5.98723,0.0179582,400x400,0.652939,0.999549,1
24,1x24,24,6.19459,0.0173571,400x400,0.652939,0.999549,1
24,1x24,24,5.751,0.0186959,400x400,0.652939,0.999549,1
24,1x24,17,4.05241,0.0187937,400x400,0.656909,0.999721,1
24,1x24,17,4.54634,0.0167519,400x400,0.656909,0.999721,1
24,1x24,17,4.47875,0.0170047,400x400,0.656909,0.999721,1
24,1x24,17,4.59661,0.0165687,400x400,0.656909,0.999721,1
24,1x24,17,4.5989,0.0165605,400x400,0.656909,0.999721,1
24,1x24,12,3.49558,0.0153794,400x400,0.662242,0.999836,1
24,1x24,12,3.43917,0.0156317,400x400,0.662242,0.999836,1
24,1x24,12,3.35493,0.0160242,400x400,0.662242,0.999836,1
24,1x24,12,3.26272,0.016477,400x400,0.662242,0.999836,1
24,1x24,12,3.51889,0.0152776,400x400,0.662242,0.999836,1
24,1x24,8,2.40675,0.0148914,400x400,0.669486,0.999917,1
24,1x24,8,2.39847,0.0149429,400x400,0.669486,0.999917,1
24,1x24,8,2.41553,0.0148373,400x400,0.669486,0.999917,1
24,1x24,8,2.66157,0.0134658,400x400,0.669486,0.999917,1
24,1x24,8,2.54921,0.0140593,400x400,0.669486,0.999917,1
24,1x24,5,1.53032,0.0146375,400x400,0.678138,0.999966,1
24,1x24,5,1.72034,0.0130206,400x400,0.678138,0.999966,1
24,1x24,5,1.56961,0.0142711,400x400,0.678138,0.999966,1
24,1x24,5,1.64774,0.0135944,400x400,0.678138,0.999966,1
24,1x24,5,1.6277,0.0137618,400x400,0.678138,0.999966,1
24,1x24,3,1.017,0.0132153,400x400,0.686574,0.999989,1
24,1x24,3,0.98574,0.0136344,400x400,0.686574,0.999989,1
24,1x24,3,1.06175,0.0126583,400x400,0.686574,0.999989,1
24,1x24,3,0.994907,0.0135088,400x400,0.686574,0.999989,1
24,1x24,3,0.969767,0.013859,400x400,0.686574,0.999989,1
24,1x24,2,0.707775,0.0126594,400x400,0.692036,0.999996,1
24,1x24,2,0.681479,0.0131479,400x400,0.692036,0.999996,1
24,1x24,2,0.707488,0.0126645,400x400,0.692036,0.999996,1
24,1x24,2,0.672914,0.0133152,400x400,0.692036,0.999996,1
24,1x24,2,0.654492,0.01369,400x400,0.692036,0.999996,1
